experimento,escenario,n,media,ic_inferior,ic_superior,reduccion_absoluta,reduccion_relativa
E1,A,1000,87.463968,87.202533,87.725402,14.248810,16.291063
E1,B,1000,73.215157,72.838277,73.592038,14.248810,16.291063
E2,A,1000,94.239667,94.091028,94.388306,7.354445,7.803980
E2,B,1000,86.885222,86.613048,87.157397,7.354445,7.803980
E3,A,1000,91.234724,90.989094,91.480355,14.061749,15.412715
E3,B,1000,77.172976,76.812580,77.533372,14.061749,15.412715
E4,A,1000,94.201657,94.046746,94.356567,7.463006,7.922372
E4,B,1000,86.738651,86.481913,86.995390,7.463006,7.922372
E5,A,1000,77.713221,77.358995,78.067446,21.875312,28.148765
E5,B,1000,55.837909,55.364194,56.311624,21.875312,28.148765
E6,A,1000,96.845920,96.763016,96.928823,3.059391,3.159029
E6,B,1000,93.786529,93.629820,93.943238,3.059391,3.159029
E7,A,1000,96.341323,96.227275,96.455370,6.584096,6.834135
E7,B,1000,89.757227,89.484925,90.029529,6.584096,6.834135
E8,A,1000,96.669559,96.559231,96.779888,4.535864,4.692133
E8,B,1000,92.133695,91.954767,92.312623,4.535864,4.692133
E9,A,1000,71.470604,71.046402,71.894806,26.457905,37.019282
E9,B,1000,45.012699,44.536754,45.488645,26.457905,37.019282
E10,A,1000,98.186612,98.125260,98.247965,0.430135,0.438079
E10,B,1000,97.756478,97.670318,97.842637,0.430135,0.438079
